@relation 'D:\\Datasets\\datasets 2015\\libsvm\\svmguide1.dat-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute class {0,1}

@data
{0 72.64102,1 268.716,2 0.159903,3 157.4365,4 1}
{0 57.35399,1 177.414,2 -0.064537,3 149.2103,4 1}
{0 32.63898,1 117.452,2 -0.185475,3 137.7844,4 1}
{0 27.33501,1 174.465,2 -0.130622,3 121.9336,4 1}
{0 35.04102,1 155.54,2 -0.168357,3 143.0332,4 1}
{0 23.63701,1 193.925,2 0.440001,3 160.455,4 1}
{0 34.30499,1 221.358,2 -0.068826,3 113.4301,4 1}
{0 21.6736,1 71.4453,2 -0.147375,3 114.7924,4 1}
{0 65.384,1 317.548,2 0.090213,3 136.8808,4 1}
{0 57.34998,1 227.84,2 -0.103883,3 126.8638,4 1}
{0 117.51,1 382.6801,2 0.149776,3 141.2287,4 1}
{0 92.34399,1 320.221,2 0.215278,3 146.4939,4 1}
{0 86.55698,1 365.215,2 0.07905,3 160.3973,4 1}
{0 22.909,1 135.967,2 0.185846,3 137.0895,4 1}
{0 30.95401,1 163.073,2 -0.043542,3 126.3584,4 1}
{0 105.65,1 311.76,2 -0.134317,3 171.4003,4 1}
{0 20.6352,1 86.74421,2 0.326806,3 105.4566,4 1}
{0 28.46201,1 155.245,2 0.166439,3 114.0261,4 1}
{0 25.3628,1 59.2445,2 0.115446,3 132.4807,4 1}
{0 99.68994,1 303.4301,2 0.07386,3 140.3799,4 1}
{0 22.278,1 64.11002,2 0.410662,3 170.884,4 1}
{0 204.3501,1 423.3201,2 -0.163006,3 179.9615,4 1}
{0 90.97009,1 314.5,2 -0.157802,3 158.0627,4 1}
{0 27.74399,1 84.095,2 0.239594,3 118.8437,4 1}
{0 22.677,1 114.946,2 0.215877,3 142.8382,4 1}
{0 26.7601,1 96.3434,2 -0.275922,3 175.5312,4 1}
{0 21.53989,1 46.5042,2 0.136383,3 124.0018,4 1}
{0 21.9613,1 63.0069,2 -0.164941,3 114.4134,4 1}
{0 16.01401,1 94.53,2 0.307191,3 154.4756,4 1}
{0 23.2464,1 134.4314,2 -0.085322,3 116.0037,4 1}
{0 37.828,1 108.095,2 0.166249,3 118.6267,4 1}
{0 23.42701,1 91.40501,2 0.150436,3 101.6663,4 1}
{0 20.4614,1 77.34241,2 -0.147169,3 126.9764,4 1}
{0 20.267,1 86.72998,2 0.226616,3 153.5253,4 1}
{0 18.2753,1 65.34991,2 -0.262893,3 170.3786,4 1}
{0 20.0985,1 74.5526,2 0.252517,3 92.47059,4 1}
{0 26.97089,1 144.9599,2 0.13434,3 96.76357,4 1}
{0 39.05399,1 189.864,2 0.062573,3 117.0227,4 1}
{0 24.8216,1 84.3707,2 0.156894,3 131.5441,4 1}
{0 28.5961,1 78.5621,2 0.129259,3 131.9258,4 1}
{0 28.825,1 80.82901,2 0.213882,3 134.3044,4 1}
{0 41.909,1 285.001,2 0.256368,3 118.2147,4 1}
{0 90.50397,1 376.77,2 -0.129106,3 170.2577,4 1}
{0 27.758,1 159.013,2 -0.222054,3 154.6981,4 1}
{0 14.55901,1 138.262,2 -0.203815,3 141.1792,4 1}
{0 92.32904,1 303.8541,2 -0.109501,3 130.8162,4 1}
{0 31.24199,1 141.67,2 0.094209,3 115.5972,4 1}
{0 139.054,1 86.91401,2 0.484325,3 179.9506,4 1}
{0 31.2078,1 85.6038,2 -0.262849,3 147.7766,4 1}
{0 29.65799,1 191.974,2 0.185376,3 93.52804,4 1}
{0 25.2252,1 124.2602,2 0.184461,3 139.8389,4 1}
{0 19.9448,1 96.4167,2 0.124125,3 124.672,4 1}
{0 34.20299,1 183.981,2 -0.087293,3 115.2209,4 1}
{0 202.91,1 297.71,2 -0.187346,3 168.3433,4 1}
{0 20.3305,1 78.6095,2 -0.240732,3 102.7924,4 1}
{0 20.823,1 64.8034,2 -0.323011,3 118.1927,4 1}
{0 43.43399,1 169.542,2 0.165269,3 102.5507,4 1}
{0 33.70799,1 159.288,2 -0.171305,3 125.084,4 1}
{0 32.68591,1 129.4456,2 0.217119,3 140.1712,4 1}
{0 28.504,1 191.921,2 -0.142502,3 131.6841,4 1}
{0 26.01701,1 92.31499,2 -0.105156,3 115.8746,4 1}
{0 29.287,1 113.786,2 0.3535,3 151.6164,4 1}
{0 204.61,1 464.47,2 -0.172218,3 178.4399,4 1}
{0 31.211,1 126.767,2 0.077217,3 139.4214,4 1}
{0 93.26605,1 373.811,2 0.137298,3 145.6974,4 1}
{1 104.605,2 -0.126195,3 114.3722,4 1}
{0 114.3151,1 96.2331,2 0.122769,3 115.4379,4 1}
{0 31.68701,1 135.619,2 0.212535,3 138.9682,4 1}
{0 26.27499,1 88.561,2 -0.164918,3 103.1769,4 1}
{0 20.7345,1 184.9743,2 0.206146,3 155.5853,4 1}
{0 44.29698,1 133.897,2 -0.193274,3 163.1357,4 1}
{0 23.849,1 126.3329,2 -0.197525,3 90.86656,4 1}
{0 21.89491,1 59.5499,2 0.137007,3 116.6656,4 1}
{0 22.4847,1 53.4739,2 0.238799,3 145.6782,4 1}
{0 43.0256,1 137.8676,2 -0.100558,3 167.6814,4 1}
{0 18.28899,1 78.745,2 -0.176258,3 136.3479,4 1}
{0 57.4365,1 91.86851,2 -0.448977,3 158.3429,4 1}
{0 53.87,1 262.302,2 0.252829,3 172.4852,4 1}
{0 34.43001,1 108.817,2 -0.228966,3 95.01671,4 1}
{0 19.1216,1 96.7625,2 0.135486,3 74.47471,4 1}
{0 19.3147,1 102.8737,2 0.125568,3 144.1648,4 1}
{0 32.81499,1 174.783,2 0.12879,3 145.7578,4 1}
{0 23.489,1 111.592,2 -0.195667,3 103.2181,4 1}
{1 110.998,2 -0.28167,3 121.453,4 1}
{0 22.507,1 91.89101,2 -0.159399,3 116.2289,4 1}
{0 37.40399,1 269.456,2 -0.169397,3 95.88739,4 1}
{0 27.9174,1 97.3164,2 -0.175773,3 136.9165,4 1}
{0 17.5469,1 148.4407,2 0.238234,3 104.2756,4 1}
{0 25.16401,1 119.79,2 -0.181689,3 100.8396,4 1}
{0 19.45201,1 67.29399,2 0.16375,3 107.6567,4 1}
{0 19.674,1 128.572,2 0.249205,3 97.86771,4 1}
{0 25.65991,1 172.72,2 -0.13725,3 87.03227,4 1}
{0 28.8472,1 98.3462,2 -0.228439,3 143.2694,4 1}
{0 71.64999,1 296.258,2 -0.166905,3 157.247,4 1}
{0 165.14,1 216.39,2 -0.159619,3 155.0277,4 1}
{0 21.7664,1 60.8876,2 0.105301,3 154.4948,4 1}
{0 26.332,1 296.139,2 0.228425,3 92.62989,4 1}
{0 32.79399,1 77.396,2 -0.255529,3 105.6022,4 1}
{0 37.82901,1 155.389,2 0.198894,3 129.7121,4 1}
{0 35.405,1 221.702,2 -0.169982,3 141.7368,4 1}
{0 27.35199,1 253.116,2 0.215441,3 144.9091,4 1}
{0 52.565,1 160.223,2 -0.156715,3 134.9664,4 1}
{0 90.30701,1 291.918,2 0.200887,3 152.5228,4 1}
{0 59.63,1 96.01001,2 -0.152071,3 111.8947,4 1}
{0 68.78101,1 269.5731,2 0.111115,3 148.7956,4 1}
{0 25.22,1 79.384,2 -0.156324,3 104.6381,4 1}
{0 67.26151,1 58.4721,2 -0.167165,3 116.8139,4 1}
{0 22.58997,1 63.22998,2 0.250788,3 158.3621,4 1}
{0 30.487,1 211.752,2 -0.154597,3 118.4207,4 1}
{0 30.024,1 159.836,2 -0.159291,3 116.4788,4 1}
{0 98.27502,1 309.268,2 -0.176025,3 170.5077,4 1}
{0 50.29199,1 188.393,2 0.148495,3 134.7137,4 1}
{0 22.08099,1 168.4643,2 0.092963,3 126.2678,4 1}
{0 25.035,1 66.53,2 0.273661,3 176.1987,4 1}
{0 42.69,1 192.017,2 0.239082,3 139.7372,4 1}
{0 292.3199,1 314.22,2 -0.274258,3 178.7695,4 1}
{0 23.974,1 68.142,2 0.205277,3 123.2493,4 1}
{0 30.52899,1 119.018,2 0.227714,3 116.2344,4 1}
{0 113.366,1 329.421,2 0.122521,3 174.8995,4 1}
{0 61.142,1 283.886,2 -0.083066,3 128.2124,4 1}
{0 33.86301,1 158.829,2 -0.097275,3 162.1881,4 1}
{0 21.7073,1 107.084,2 0.198508,3 113.4768,4 1}
{0 27.0972,1 96.9642,2 -0.286805,3 162.6606,4 1}
{0 25.42299,1 70.873,2 0.409471,3 154.547,4 1}
{0 17.37901,1 57.848,2 0.329577,3 129.6791,4 1}
{0 22.0281,1 62.0861,2 -0.182667,3 97.90616,4 1}
{0 60.09599,1 160.85,2 0.070527,3 130.797,4 1}
{0 96.63989,1 209.5399,2 -0.174865,3 160.4385,4 1}
{0 42.3999,1 81.19995,2 -0.109823,3 139.0863,4 1}
{0 25.66,1 47.446,2 0.346059,3 97.18379,4 1}
{0 24.9772,1 38.7218,2 -0.387082,3 138.5974,4 1}
{0 33.12897,1 220.978,2 -0.206837,3 154.5113,4 1}
{0 27.927,1 184.049,2 0.054662,3 102.7814,4 1}
{0 29.6255,1 138.2565,2 0.1937,3 157.7908,4 1}
{0 27.823,1 179.708,2 -0.226887,3 92.93752,4 1}
{0 44.25806,1 61.82806,2 0.171178,3 132.8377,4 1}
{0 21.85199,1 143.036,2 0.190562,3 95.13756,4 1}
{0 140.59,1 280.63,2 -0.143202,3 153.7121,4 1}
{0 28.78705,1 198.368,2 0.186548,3 94.61845,4 1}
{0 183.893,1 79.036,2 0.317346,3 160.466,4 1}
{0 55.72003,1 296.83,2 0.160876,3 135.0433,4 1}
{0 26.6758,1 59.8158,2 0.182075,3 114.4573,4 1}
{0 46.673,1 141.854,2 -0.149671,3 120.5493,4 1}
{0 49.92,1 167.798,2 0.129186,3 169.225,4 1}
{0 37.93501,1 216.45,2 0.067024,3 140.1904,4 1}
{0 28.90503,1 213.381,2 0.290422,3 158.3511,4 1}
{0 61.28003,1 291.61,2 -0.147485,3 166.7778,4 1}
{0 156.504,1 433.864,2 -0.157473,3 157.2717,4 1}
{0 19.66219,1 54.5321,2 0.361824,3 118.6239,4 1}
{0 23.86298,1 147.998,2 0.130028,3 127.5312,4 1}
{0 147.3101,1 153.88,2 -0.146499,3 153.5692,4 1}
{0 27.6377,1 79.6817,2 -0.11019,3 135.1751,4 1}
{0 18.119,1 119.26,2 0.109356,3 145.0657,4 1}
{0 23.1935,1 104.5207,2 -0.220397,3 84.85695,4 1}
{0 31.53099,1 136.774,2 0.181901,3 132.2692,4 1}
{0 73.883,1 330.851,2 0.17699,3 157.0217,4 1}
{0 30.9646,1 54.5215,2 -0.134957,3 152.2728,4 1}
{0 21.2519,1 52.4504,2 0.142483,3 105.9071,4 1}
{0 36.23602,1 237.856,2 0.287965,3 177.4044,4 1}
{0 31.46002,1 203.518,2 0.103897,3 101.7404,4 1}
{0 21.4825,1 92.3335,2 0.413805,3 121.1591,4 1}
{0 39.89499,1 261.168,2 0.153196,3 133.8952,4 1}
{0 24.839,1 123.19,2 0.30984,3 142.4921,4 1}
{0 16.7085,1 81.7726,2 0.236633,3 46.80522,4 1}
{0 28.6633,1 72.8815,2 -0.279712,3 164.5969,4 1}
{0 39.85999,1 213.979,2 0.14263,3 143.9808,4 1}
{0 30.07101,1 125.495,2 0.274737,3 130.3026,4 1}
{0 54.54301,1 123.456,2 -0.11904,3 114.9627,4 1}
{0 43.82898,1 252.926,2 -0.128493,3 153.6544,4 1}
{0 28.64101,1 241.661,2 0.292992,3 142.5827,4 1}
{0 23.13499,1 166.438,2 0.201089,3 108.8762,4 1}
{0 119.593,1 391.181,2 -0.097203,3 147.1202,4 1}
{0 91.12599,1 129.824,2 0.214679,3 161.1582,4 1}
{0 39.15002,1 125.248,2 -0.103489,3 111.9304,4 1}
{0 138.049,1 268.369,2 0.152063,3 130.0883,4 1}
{0 34.85095,1 171.757,2 -0.139167,3 93.87686,4 1}
{0 25.6265,1 42.6395,2 0.275349,3 158.6972,4 1}
{0 51.5196,1 71.6316,2 0.206664,3 119.7968,4 1}
{0 26.218,1 117.793,2 0.134962,3 117.6297,4 1}
{0 102.03,1 240.7301,2 -0.182691,3 166.948,4 1}
{0 25.5565,1 81.7315,2 -0.169228,3 125.0373,4 1}
{0 72.66998,1 180.559,2 -0.203081,3 156.2417,4 1}
{0 24.2211,1 71.9763,2 -0.200066,3 120.7663,4 1}
{0 26.80499,1 298.77,2 -0.175818,3 152.314,4 1}
{0 24.5517,1 60.4127,2 0.154877,3 122.461,4 1}
{0 42.61499,1 356.029,2 0.137202,3 161.3367,4 1}
{0 240.42,1 282.5601,2 -0.16676,3 172.7709,4 1}
{0 21.52002,1 181.29,2 0.229233,3 124.249,4 1}
{0 26.8008,1 84.7404,2 0.186375,3 94.85466,4 1}
{0 24.82001,1 207.836,2 0.183125,3 141.8631,4 1}
{0 38.729,1 317.276,2 0.12936,3 138.8528,4 1}
{0 32.57079,1 86.7528,2 0.22421,3 150.526,4 1}
{0 75.51105,1 241.442,2 -0.19123,3 142.8492,4 1}
{0 21.42798,1 84.01898,2 -0.062662,3 81.83017,4 1}
{0 24.7968,1 73.8892,2 0.224982,3 165.7945,4 1}
{0 17.9255,1 95.8872,2 0.560326,3 153.4676,4 1}
{0 122.59,1 263.98,2 -0.168148,3 168.8267,4 1}
{0 99.353,1 176.428,2 0.115001,3 134.3429,4 1}
{0 39.02197,1 144.097,2 -0.184705,3 94.71458,4 1}
{0 80.05994,1 132.65,2 -0.143496,3 134.8592,4 1}
{0 20.9227,1 69.3467,2 -0.187343,3 140.5393,4 1}
{0 24.25101,1 182.054,2 -0.299963,3 87.4992,4 1}
{0 32.095,1 101.333,2 0.259976,3 148.7187,4 1}
{0 59.60205,1 285.4681,2 0.135818,3 108.607,4 1}
{0 38.539,1 155.605,2 0.245637,3 139.3664,4 1}
{0 29.118,1 115.796,2 0.204824,3 130.9316,4 1}
{0 21.4372,1 49.79321,2 0.160349,3 114.0261,4 1}
{0 29.1398,1 86.95151,2 0.091101,3 149.0126,4 1}
{0 20.487,1 78.30899,2 0.230661,3 132.8267,4 1}
{0 89.99103,1 183.0131,2 -0.238042,3 154.5251,4 1}
{0 23.8629,1 48.4837,2 -0.337547,3 162.2596,4 1}
{0 21.9237,1 107.2204,2 -0.177156,3 121.7771,4 1}
{0 24.1073,1 74.8956,2 0.30375,3 100.7352,4 1}
{0 26.94501,1 229.939,2 0.32704,3 142.7695,4 1}
{0 22.4353,1 132.8433,2 -0.155876,3 107.827,4 1}
{0 17.2281,1 52.0249,2 0.261015,3 53.96567,4 1}
{0 109.531,1 361.185,2 -0.113106,3 161.5619,4 1}
{0 85.68103,1 243.429,2 -0.142158,3 123.0103,4 1}
{0 21.5279,1 106.4265,2 0.101484,3 123.3838,4 1}
{0 56.09406,1 245.35,2 0.266767,3 132.8844,4 1}
{0 23.14801,1 164.425,2 0.0497,3 103.946,4 1}
{0 38.86301,1 323.901,2 0.108652,3 124.5841,4 1}
{0 28.52502,1 83.34601,2 0.278401,3 115.2209,4 1}
{0 24.2878,1 101.1922,2 0.26727,3 93.34402,4 1}
{0 32.354,1 76.737,2 -0.174054,3 126.9929,4 1}
{0 28.136,1 69.621,2 0.119842,3 123.7849,4 1}
{0 54.957,1 322.861,2 0.173524,3 154.5251,4 1}
{0 73.16992,1 225.73,2 -0.17077,3 157.4585,4 1}
{0 78.83502,1 306.773,2 0.262961,3 167.1211,4 1}
{0 30.59009,1 73.65002,2 0.189963,3 120.7855,4 1}
{0 18.5884,1 93.1144,2 -0.189699,3 139.7922,4 1}
{1 102.355,2 -0.383513,3 84.58503,4 1}
{0 41.12,1 167.855,2 -0.211118,3 149.4877,4 1}
{0 32.46899,1 132.801,2 -0.138816,3 138.2101,4 1}
{0 118.061,1 155.772,2 -0.133277,3 158.4143,4 1}
{0 29.17499,1 81.00201,2 -0.172988,3 128.726,4 1}
{0 16.19,1 235.407,2 0.316386,3 134.0957,4 1}
{0 71.966,1 88.133,2 0.328103,3 118.7915,4 1}
{0 20.30902,1 168.362,2 0.279413,3 118.2477,4 1}
{0 34.2591,1 115.7921,2 -0.23226,3 162.2843,4 1}
{0 25.7407,1 105.8587,2 0.277335,3 138.7677,4 1}
{0 30.9777,1 43.50529,2 -0.267287,3 135.1147,4 1}
{0 63.50598,1 354.0569,2 -0.171047,3 162.2898,4 1}
{0 31.0247,1 85.7067,2 -0.106022,3 114.07,4 1}
{0 26.45721,1 128.4074,2 0.129485,3 116.1273,4 1}
{0 30.13701,1 52.85701,2 -0.162023,3 119.3243,4 1}
{0 18.26001,1 157.085,2 0.154534,3 68.82765,4 1}
{0 25.26495,1 253.267,2 0.106932,3 156.9393,4 1}
{0 37.964,1 114.749,2 0.176765,3 129.55,4 1}
{0 30.371,1 159.875,2 0.169768,3 129.8933,4 1}
{0 21.0001,1 100.9523,2 -0.295831,3 132.0055,4 1}
{0 74.95499,1 313.334,2 -0.124924,3 158.3291,4 1}
{0 21.1013,1 34.7748,2 0.22335,3 64.44129,4 1}
{0 26.5196,1 89.48389,2 -0.264124,3 169.1261,4 1}
{0 25.6977,1 79.3167,2 -0.200101,3 116.8441,4 1}
{0 30.53699,1 133.14,2 0.224077,3 141.3275,4 1}
{0 25.048,1 47.854,2 0.364138,3 151.7125,4 1}
{0 21.65802,1 207.021,2 0.13978,3 89.69375,4 1}
{0 95.64001,1 126.89,2 -0.128214,3 151.762,4 1}
{0 25.13101,1 147.124,2 -0.158016,3 179.4919,4 1}
{0 44.49097,1 164.437,2 0.094324,3 110.0462,4 1}
{0 26.8104,1 52.35841,2 0.156991,3 122.3017,4 1}
{0 27.575,1 105.577,2 0.171613,3 134.9773,4 1}
{0 35.72601,1 192.622,2 0.069477,3 156.4971,4 1}
{0 17.3071,1 56.2204,2 0.215257,3 81.78073,4 1}
{0 19.50699,1 100.569,2 0.203757,3 138.2293,4 1}
{0 117.065,1 418.368,2 -0.110196,3 154.5031,4 1}
{0 21.4455,1 54.6805,2 0.300373,3 151.968,4 1}
{0 42.85098,1 154.484,2 -0.177245,3 151.6741,4 1}
{0 49.90201,1 211.896,2 -0.10406,3 112.26,4 1}
{0 96.19669,1 34.1658,2 -0.211128,3 150.9627,4 1}
{0 24.8856,1 89.9644,2 0.23359,3 158.016,4 1}
{0 23.239,1 120.784,2 0.293715,3 156.8158,4 1}
{0 23.4938,1 79.4898,2 0.275968,3 103.0314,4 1}
{0 26.2567,1 56.6847,2 0.131255,3 124.466,4 1}
{0 30.0655,1 46.2135,2 -0.19305,3 125.051,4 1}
{0 25.06299,1 85.66699,2 -0.094663,3 155.7198,4 1}
{0 48.513,1 123.108,2 -0.083135,3 133.3623,4 1}
{0 34.44904,1 173.108,2 -0.150367,3 129.8,4 1}
{0 80.48004,1 254.325,2 -0.253792,3 128.2234,4 1}
{0 26.81903,1 143.28,2 -0.086053,3 98.9691,4 1}
{0 43.45099,1 170.499,2 -0.192733,3 166.2559,4 1}
{0 22.399,1 117.327,2 -0.144964,3 105.3825,4 1}
{0 38.11603,1 226.316,2 -0.13211,3 158.4829,4 1}
{0 81.72198,1 274.1091,2 -0.166078,3 130.2504,4 1}
{0 36.67502,1 158.965,2 -0.167544,3 142.2257,4 1}
{0 71.22,1 305.207,2 0.147528,3 166.8766,4 1}
{0 61.15698,1 152.705,2 -0.159481,3 136.3232,4 1}
{0 23.85098,1 89.97498,2 0.483229,3 128.9293,4 1}
{0 24.6041,1 61.81621,2 -0.210646,3 132.6537,4 1}
{0 23.1689,1 55.4008,2 0.303391,3 128.0037,4 1}
{0 40.82501,1 245.426,2 0.178668,3 145.3294,4 1}
{0 28.15201,1 190.423,2 -0.129059,3 113.0071,4 1}
{0 31.23801,1 136.287,2 0.218573,3 164.314,4 1}
{0 31.19299,1 212.558,2 -0.198058,3 161.0236,4 1}
{0 26.43402,1 252.468,2 -0.168502,3 141.528,4 1}
{0 23.14001,1 16.23999,2 0.263405,3 90.30076,4 1}
{0 75.961,1 247.705,2 0.088568,3 159.9442,4 1}
{0 55.258,1 176.804,2 0.198373,3 162.2129,4 1}
{0 36.58299,1 167.407,2 0.235812,3 135.4992,4 1}
{0 113.01,1 151.25,2 -0.129332,3 130.97,4 1}
{0 77.40399,1 254.822,2 -0.14398,3 117.8109,4 1}
{0 79.62198,1 220.605,2 0.151271,3 134.4939,4 1}
{0 22.5624,1 58.0155,2 -0.241278,3 127.5834,4 1}
{0 31.2216,1 79.6825,2 -0.236999,3 146.1122,4 1}
{0 46.423,1 298.898,2 0.241635,3 169.5738,4 1}
{0 22.0125,1 54.2841,2 0.525226,3 91.66582,4 1}
{0 24.63449,1 50.1217,2 0.07717,3 117.2808,4 1}
{0 22.36499,1 176.582,2 0.151194,3 110.9004,4 1}
{0 54.6208,1 70.53281,2 0.126755,3 153.8164,4 1}
{0 41.35098,1 160.51,2 -0.1651,3 154.4784,4 1}
{0 24.7632,1 35.4125,2 0.136432,3 113.8503,4 1}
{0 32.383,1 265.168,2 -0.09552,3 103.2813,4 1}
{0 22.99597,1 217.191,2 -0.133033,3 133.0272,4 1}
{0 33.418,1 286.216,2 0.088077,3 114.2238,4 1}
{0 68.633,1 295.404,2 -0.084122,3 161.8668,4 1}
{1 111.013,2 -0.174586,3 106.0032,4 1}
{0 59.91901,1 304.54,2 -0.136115,3 123.9881,4 1}
{0 26.082,1 83.371,2 0.271668,3 124.6995,4 1}
{0 77.0559,1 33.6459,2 0.297671,3 148.098,4 1}
{0 53.95102,1 172.598,2 0.049472,3 118.591,4 1}
{0 29.0747,1 97.3697,2 0.225742,3 122.3951,4 1}
{0 147.2101,1 383.48,2 -0.173781,3 175.5148,4 1}
{0 22.2132,1 71.18221,2 0.178444,3 137.7569,4 1}
{0 90.58502,1 222.348,2 -0.098473,3 123.9277,4 1}
{0 86.418,1 317.511,2 -0.147449,3 146.4033,4 1}
{1 90.8497,2 0.172534,3 123.7162,4 1}
{0 20.054,1 235.407,2 0.143085,3 138.1772,4 1}
{0 28.5636,1 90.1256,2 0.256852,3 115.1659,4 1}
{0 118.2673,1 146.7363,2 -0.173921,3 161.4685,4 1}
{0 23.73801,1 166.904,2 0.134489,3 106.9673,4 1}
{0 37.814,1 134.306,2 -0.065986,3 151.8251,4 1}
{0 78.76199,1 286.431,2 -0.113834,3 175.957,4 1}
{0 115.08,1 132.02,2 -0.13856,3 148.9961,4 1}
{0 93.72198,1 447.612,2 0.186755,3 159.1916,4 1}
{0 73.73999,1 89.79993,2 -0.186684,3 147.6613,4 1}
{0 47.60699,1 207.161,2 0.115121,3 114.276,4 1}
{0 35.78101,1 202.577,2 -0.187032,3 103.2126,4 1}
{1 100.8705,2 0.349695,3 141.3742,4 1}
{0 21.202,1 131.416,2 0.22733,3 168.6949,4 1}
{0 22.951,1 101.962,2 -0.185473,3 158.7713,4 1}
{0 29.4868,1 175.2179,2 0.130545,3 139.2401,4 1}
{0 27.34361,1 88.9836,2 0.096635,3 122.2687,4 1}
{0 22.9834,1 94.14359,2 -0.155746,3 101.3257,4 1}
{0 30.507,1 171.167,2 0.217977,3 137.2872,4 1}
{0 16.13799,1 96.464,2 0.35539,3 127.4131,4 1}
{0 55.87,1 179.01,2 0.211545,3 149.463,4 1}
{0 27.23599,1 141.637,2 0.184779,3 156.3296,4 1}
{1 100.0191,2 0.223609,3 107.9588,4 1}
{0 22.29898,1 300.308,2 -0.274115,3 88.58411,4 1}
{0 43.05501,1 116.272,2 0.112181,3 124.3369,4 1}
{0 23.565,1 96.3023,2 0.199878,3 134.9856,4 1}
{0 86.215,1 224.683,2 -0.206271,3 164.0668,4 1}
{0 22.61269,1 66.84209,2 0.103809,3 111.2245,4 1}
{0 26.2487,1 131.1066,2 0.09563,3 135.3371,4 1}
{0 20.8102,1 68.7965,2 -0.378374,3 88.54292,4 1}
{0 21.69199,1 141.04,2 -0.084822,3 84.14557,4 1}
{0 30.573,1 217.42,2 0.110417,3 101.3806,4 1}
{0 34.328,1 156.951,2 -0.125472,3 120.0357,4 1}
{0 52.198,1 235.237,2 0.127719,3 123.4031,4 1}
{0 50.84503,1 190.3,2 0.166887,3 139.8938,4 1}
{0 26.3167,1 130.8527,2 -0.153029,3 155.154,4 1}
{0 41.76801,1 143.243,2 0.123158,3 104.3937,4 1}
{0 138.49,1 309,2 0.078894,3 131.3848,4 1}
{0 30.19849,1 65.3415,2 -0.220835,3 158.4253,4 1}
{0 173.6799,1 377.99,2 -0.081228,3 151.5285,4 1}
{0 18.3215,1 98.315,2 0.114552,3 121.6645,4 1}
{0 20.3261,1 73.34511,2 0.182772,3 119.621,4 1}
{0 95.52002,1 274.84,2 -0.1624,3 174.4958,4 1}
{0 65.05197,1 197.636,2 -0.176776,3 151.0259,4 1}
{0 31.707,1 169.404,2 0.267435,3 118.1817,4 1}
{0 20.3727,1 154.5501,2 -0.197841,3 135.1147,4 1}
{0 31.686,1 145.211,2 0.112018,3 114.5974,4 1}
{0 60.70099,1 105.127,2 -0.204817,3 133.0217,4 1}
{0 29.18199,1 100.924,2 0.103217,3 110.7631,4 1}
{0 98.92102,1 346.939,2 -0.176178,3 168.9009,4 1}
{0 121.463,1 142.523,2 -0.193379,3 156.7471,4 1}
{0 19.3769,1 56.2636,2 0.426781,3 128.2069,4 1}
{0 36.04401,1 279.665,2 0.128447,3 132.629,4 1}
{0 42.34702,1 146.395,2 -0.191331,3 149.7679,4 1}
{0 40.30499,1 179.917,2 0.057521,3 106.6899,4 1}
{0 19.5933,1 109.3811,2 0.102009,3 107.2062,4 1}
{0 20.77319,1 60.6932,2 0.205286,3 154.3163,4 1}
{0 58.053,1 102.058,2 0.226609,3 159.4992,4 1}
{0 38.39603,1 157.299,2 -0.158654,3 140.8908,4 1}
{0 43.26099,1 212.2469,2 0.161897,3 114.9462,4 1}
{0 34.9385,1 75.7478,2 -0.13211,3 138.0179,4 1}
{0 26.71899,1 207.01,2 -0.130162,3 97.81552,4 1}
{0 24.15299,1 42.96099,2 -0.152381,3 99.71343,4 1}
{0 27.1206,1 58.4466,2 -0.435274,3 131.967,4 1}
{0 57.05701,1 170.859,2 -0.202338,3 151.0066,4 1}
{0 28.126,1 85.367,2 -0.14092,3 111.7794,4 1}
{0 58.8079,1 84.69189,2 -0.177754,3 157.03,4 1}
{0 61.79498,1 231.372,2 -0.094612,3 120.0357,4 1}
{0 24.5819,1 58.5688,2 -0.340848,3 92.54749,4 1}
{0 39.1273,1 85.06729,2 0.149584,3 116.9375,4 1}
{0 40.82501,1 246.092,2 -0.170309,3 132.2747,4 1}
{0 33.41595,1 186.524,2 -0.070125,3 96.75258,4 1}
{0 27.9622,1 126.8542,2 -0.151815,3 125.6828,4 1}
{0 23.9754,1 62.0246,2 0.100061,3 123.491,4 1}
{0 57.31001,1 101.359,2 -0.201103,3 161.7267,4 1}
{0 26.728,1 67.4795,2 -0.324111,3 99.92218,4 1}
{0 21.364,1 111.981,2 0.364713,3 139.6191,4 1}
{0 30.88501,1 134.727,2 0.190863,3 97.9144,4 1}
{0 41.907,1 165.48,2 0.190852,3 123.8508,4 1}
{0 24.3799,1 63.7068,2 0.310531,3 93.09132,4 1}
{0 24.5203,1 43.8942,2 -0.162712,3 99.42779,4 1}
{0 106.33,1 494.01,2 -0.174776,3 168.7169,4 1}
{0 18.1181,1 59.0519,2 -0.176399,3 101.3147,4 1}
{0 24.73898,1 264.392,2 0.185723,3 138.1332,4 1}
{0 49.01703,1 91.92694,2 0.294324,3 174.7375,4 1}
{0 145.6699,1 206.98,2 -0.13768,3 151.8993,4 1}
{0 22.752,1 87.1076,2 -0.087741,3 103.2319,4 1}
{0 31.52301,1 214.096,2 0.096839,3 110.3731,4 1}
{0 154.6801,1 187.12,2 -0.15251,3 163.5093,4 1}
